question,answer,intent
Acantholysis is:,Lysis of basale cell layer,general_faq
Abnormal function of epithelial chloride channel protein is the cause of,Ehlers Danlos syndrome,general_faq
Feed forward mechanism is employmed in regulation of:,Temperature,general_faq
A Sepsis Wound score includes all except,Scours discharge,general_faq
Which of the following is most characteristic of the brain in patients with Alzheimer’s disease,Pigmentary degeneration in hippocampus,general_faq
"A 53-year-old man develops weakness, malaise, cough with bloody sputum and night sweats. A chest X-ray reveals numerous apical densities bilaterally, some of which are cavitary. Exposure to Mycobacterium tuberculosis was documented 20 years ago, and M. tuberculosis is identified in his sputum. Which of the following describes the expected lung pathology in this patient?",Dense fibrosis,nutrition_advice
"In which system, continuous enumeration of bihs and deaths by enumerator and an independent survey by investigator supervisor is done ?",Decadal Census Enumeration,nutrition_advice
Angina pectoris and syncope are most likely to be associated with,Mitral stenosis,general_faq
Ionoising radiation most sensitive in – a) Hypoxiab) S phagec) G2M phased) Activating cell,ac,general_faq
Which of the following is the most common congenital cardiac defect?,TOF,general_faq
This x-ray is suggestive of,Tetralogy of fallot,general_faq
Which IUCD acts for 10 yrs -,Cu-T 200 B,general_faq
Most common site of primary spinal tumor,Intramedullary; Extradural,general_faq
Classic Galactosemia is due to deficiency of:,Hexosaminidase,general_faq
Hydrocephalus in infant is best diagnosed by,USG cranium,symptoms_diagnosis
Disulfiram-like reaction is caused by: Kerala 11,Acamprostate,general_faq
"A 30 years old male presented with silvery scales on elbow and knee, that bleed on removal. The probable diagnosis is –",Pityriasis,general_faq
Most useful for sex determination is: Kerala 08,Skull,general_faq
Which drugs are used for prenatal therapy of congenital adrenal hyperplasia?,Hydrocoisone,medicine_info
Which of the following is TRUE regarding Neisseria meningitidis infection?,It is the most common cause of meningitis in children,general_faq
"Increase in cytosolic calcium from intracellular storage, during smooth muscle contraction is/are due to: (PGI Dec 2008)",CAMP,general_faq
Validity includes,Sensitivity and specificity,general_faq
Immunostimulant used for the treatment of malignant melanoma is :,Levamisole,nutrition_advice
Tongue anomaly is called as:,Fissured tongue,general_faq
Symptom of hypoglyemia is -,Sweating,symptoms_diagnosis
Ayushman Bharat is,Health education program,general_faq
Which of the following types of bronchogenic carcinomas are most likely to develop within a residual area of peripheral scar tissue?,Small-cell carcinoma,general_faq
"In MVP, you would expect the ejection click to be more accentuated and the murmur to move closer the first hea sound in a patient",With marked anxiety,general_faq
Which joint is commonly involved in osteochondritis dissecans?,Ankle joint,general_faq
Per Rectal palpation of uterus is done in :,Primigravida,general_faq
True about adenocarcinoma of lung-,More common in female,general_faq
Which of the following is essential for tumor metastasis?,Angiogenesis,general_faq
All are true about SLE in pregnancy except?,Increased anti Ro and La implies low risk for congenital hea block,general_faq
Which of following is the feature of Y chromosome?,Acrocentric,nutrition_advice
Role of egg lecithin in propofol formulation is?,Acts as emulsifying agent,general_faq
All are seen in blunt injury of the eye except:,Hyphema,general_faq
False about sjogren's syndrome,Kerato conjunctivitis sicca,general_faq
Child criteria doesnt include,Encephalopathy,general_faq
Richest source of retinoids is?,Cod liver oil,general_faq
Light requirement in watch manufacturing company is -,2000-3000 Lux,general_faq
Waste in yellow plastic bags are treated by,Incineration,nutrition_advice
Rickets in infant present as all except -,Cranitabes,general_faq
Most commonly abused opioid is,Morphine,general_faq
Trastuzumab all are true EXCEPT:,Shows better response in combination with paclitaxel,general_faq
True about glycolysis are all except ?,Provide nutrition to cancer cells,general_faq
Skin grafting done on wound following major skin taken from twin brother:,Isograft,general_faq
Acute Gouty ahritis is seen early in treatment following -,Probenecid,nutrition_advice
Most common cause of upper GI bleed -,Esophageal varices,general_faq
Functional unit of muscle:,Sarcomere,general_faq
"Sub-valvular Aoic Stenosis is known to be associated with all of the following, except:",Aoic Regurgitation,general_faq
Trapping parasites using NETs is assisted by,Neutrophils and Eosinophils,general_faq
Screening test used in first trimester for aneuploidy -,PAPP-A &estradiol,general_faq
Glycogen storage diseases include the following,Fabry’s disease,general_faq
"A child presents with acute diarrhea with signs of dehydration; On investigation, Na+ 125 mEq/L, K+ 3 meq/L, HCO3- 16 mEq/L and pH is 7.23. IV Fluid to be given is?",Normal saline,general_faq
"Terminal branches of facial nerve are all, EXCEPT:",Mandibular nerve,general_faq
For exhumation the order should be passed by -,Chief judicial magistrate,general_faq
"In a family, the father has widely spaced eyes, increased facial hair and deafness. One of the three children has deafness with similar facial features. The mother is normal. Which one of the following is most likely pattern of inheritance in this case?",Autosomal dominant,nutrition_advice
Which of the following is a Longer acting Erythropoietin derivative?,Sargramostim,general_faq
"IQ level of intelligence 90-109 is: March 2013 (c, g)",Borderline,general_faq
"a patient of age 65 years , who is obesity of bmi >40 , known diabetic and hypeensive .patient complaints of breathlessness , excessive sleeping during morning time with headache and with mood swings, what is drug that helps in resolving the symptoms ?",salbutamol,medicine_info
Sensory neural deafness associated with hereditary nephritis is seen in,Fanconi syndrome,general_faq
"Delusion of grandeur, persecution and reference is seen in: PGI 09; UP 11",Catatonic schizophrenia,general_faq
"A 60-year old male presents with progressive difficulty in swallowing, vomiting and occasional regurgitation for the past 3 months. Barium studied showed marked dilatation of the upper esophagus with narrowing of the lower segment. Manometry showed absent esophageal peristalsis. This patient needs to have -",Ballon dilatation,general_faq
Congenital hydrocele is best treated by,Eversion of sac,nutrition_advice
DNA topoisomerase 1 autoantibody is specific for?,Limited cutaneous systemic sclerosis,general_faq
"A 20 yrs old young girl, presents with history of rapidly developing hirsutism and Amenorrhea with change in voice. To establish a diagnosis you would like to proceed with which of the following tests in blood:",17-OH progesterone,general_faq
No effect on hea,Chloroform,general_faq
Patient because of positive biopsy findings and negative workup undergoes a radical prostatectomy. The pathology repo reveals Gleason score 9/10 and involvement of several pelvic lymph nodes. Which is the most likely site for prostatic cancer metastasis?,Liver,general_faq
Name the intrauterine contraceptive device:,CuT 200,general_faq
Which of the following agent is used in day care surgery?,Propofol,treatment_procedure
"Compute the median for the following set of data, 1,2,3,4,5,6:",3,general_faq
Starvation and diabetes mellitus can lead on to ketoacidosis which of the following features is in our of ketoacidosis due to diabetes mellitus.,"Increase in glucagon/insulin ratio, increased CAMP and increased blood glucose",nutrition_advice
In the inflammatory process the prostaglandins E1and E2 causes,Vasodilation,general_faq
Drug which produces Steven Johnson's syndrome in HIV infected individuals is:,Paraaminosalicylate,medicine_info
The cutoff point of serum estrogen level for the diagnosis of ovarian failure:,10 pg/ml,general_faq
Lilliputian hallucinations are seen in,Alcohol withdrawal,general_faq
Increased Ig A levels are seen in,Alcoholic hepatitis,general_faq
First investigation done for abnormal uterine bleeding in reproductive age group is _______,Ultrasonography transabdominal,general_faq
Fracture of the hyoid bone results from all except :,Throttling,general_faq
"A child presents with Hepatosplenomegaly, Abdominal distension, Jaundice, Anemia and Adrenal calcification. Which of the following is the Diagnosis ?",Adrenal hemorrhage,general_faq
